Nb global unknowns: 14064774
-----------------
grep "^|"  period.5469909.4294967294.out
| Total time   | Avg Time     |  Min time    |  Max time    | Calls  | Section
| Total time   | Avg Time     |  Min time    |  Max time    | Calls  | Section
|   26460.6570 |   26460.6570 |   26460.6570 |   26460.6570 |     1  | 0_total
|       0.0771 |       0.0771 |       0.0771 |       0.0771 |     1  |   1_initialize
|      82.8550 |      82.8550 |      82.8550 |      82.8550 |     1  |   2_read_mesh
|      41.9700 |      41.9700 |      41.9700 |      41.9700 |     1  |   3_refine_mesh
|     203.1360 |     203.1360 |     203.1360 |     203.1360 |     1  |   4_initialize_fem
|   24522.5591 |   24522.5591 |   24522.5591 |   24522.5591 |     1  |   5_solve
|       0.0029 |       0.0029 |       0.0029 |       0.0029 |     1  |     5A.1_NewtonProcessNewState
|     331.7581 |     331.7581 |     331.7581 |     331.7581 |     1  |     5A.2_NewtonFirstIteration
|       0.1052 |       0.0526 |       0.0381 |       0.0671 |     2  |     5A.3_NewtonIterMonitor
|    3913.9050 |    3913.9050 |    3913.9050 |    3913.9050 |     1  |     5A.4_NewtonIterGetGradient
|   19839.3630 |   19839.3630 |   19839.3630 |   19839.3630 |     1  |     5A.5_NewtonIterFirstMult
|     437.3901 |     437.3901 |     437.3901 |     437.3901 |     1  |     5A.6_NewtonIterSecondMult
|    1583.7031 |    1583.7031 |    1583.7031 |    1583.7031 |     1  |   6_postprocess
| Total time   | Avg Time     |  Min time    |  Max time    | Calls  | Section
|   22115.0930 |   22115.0930 |   22115.0930 |   22115.0930 |     1  | 0_total
|       0.0740 |       0.0740 |       0.0740 |       0.0740 |     1  |   1_initialize
|     126.7319 |     126.7319 |     126.7319 |     126.7319 |     1  |   2_read_mesh
|      47.3418 |      47.3418 |      47.3418 |      47.3418 |     1  |   3_refine_mesh
|      30.2329 |      30.2329 |      30.2329 |      30.2329 |     1  |   4_initialize_fem
|   20343.4182 |   20343.4182 |   20343.4182 |   20343.4182 |     1  |   5_solve
|       0.0022 |       0.0022 |       0.0022 |       0.0022 |     1  |     5A.1_NewtonProcessNewState
|     106.3389 |     106.3389 |     106.3389 |     106.3389 |     1  |     5A.2_NewtonFirstIteration
|       0.1038 |       0.0519 |       0.0439 |       0.0598 |     2  |     5A.3_NewtonIterMonitor
|    3575.4321 |    3575.4321 |    3575.4321 |    3575.4321 |     1  |     5A.4_NewtonIterGetGradient
|   16573.6719 |   16573.6719 |   16573.6719 |   16573.6719 |     1  |     5A.5_NewtonIterFirstMult
|      87.8262 |      87.8262 |      87.8262 |      87.8262 |     1  |     5A.6_NewtonIterSecondMult
|    1554.3391 |    1554.3391 |    1554.3391 |    1554.3391 |     1  |   6_postprocess
